Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
09/24/2013,17:11:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,8804 FLOWER AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,FORD,4S,BLACK,Citation,13-401(h),Transportation Article,No,BLACK,M,TAKOMA PARK,MD,MD,A - Marked Patrol,
12/20/2012,00:41:00,MCP,"2nd district, Bethesda",DRIVING WHILE IMPAIRED BY ALCOHOL,NORFOLK AVE /  ST ELMO AVE,38.9835782,-77.09310515,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,AUDI,4S,GRAY,Citation,21-902(b1),Transportation Article,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,"(38.9835782, -77.09310515)"
07/20/2012,23:12:00,MCP,"5th district, Germantown",FAILURE TO STOP AT STOP SIGN,WISTERIA DR @ WARING STATION RD,39.1618098166667,-77.25358095,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYT,4S,RED,Citation,21-707(a),Transportation Article,No,ASIAN,F,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1618098166667, -77.25358095)"
03/19/2012,16:10:00,MCP,"2nd district, Bethesda",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,CLARENDON RD @ ELM ST. N/,38.9827307333333,-77.1007551666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1996,HONDA,CIVIC,SILVER,Citation,21-1124.2(d2),Transportation Article,No,HISPANIC,M,ARLINGTON,VA,VA,A - Marked Patrol,"(38.9827307333333, -77.1007551666667)"
12/01/2014,12:52:00,MCP,"6th district, Gaithersburg / Montgomery Village",FAILURE STOP AND YIELD AT THRU HWY,CHRISTOPHER AVE/MONTGOMERY VILLAGE AVE,39.1628883333333,-77.2290883333333,No,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2001,HONDA,ACCORD,SILVER,Citation,21-403(b),Transportation Article,No,BLACK,F,UPPER MARLBORO,MD,MD,A - Marked Patrol,"(39.1628883333333, -77.2290883333333)"
06/09/2012,21:19:00,MCP,"3rd district, Silver Spring",OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT,2068 HARLEQUIN TERRACE,39.06914295,-76.9696780666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CHEVROLET,IMPALA,SILVER,Citation,22-412.3(b),Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.06914295, -76.9696780666667)"
09/11/2012,21:47:00,MCP,"4th district, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED LICENSE AND PRIVILEGE,TWIG RD AT GOOD HOPE RD,39.09619885,-76.98696215,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,DODGE,CHARGER,BLACK,Citation,16-303(d),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.09619885, -76.98696215)"
11/04/2012,01:14:00,MCP,"4th district, Wheaton",DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,RANDOLPH RD @ SPRINGTREE DR,39.0583676,-77.0479825666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,FORD,TAURUS,WHITE,Citation,21-902(a2),Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0583676, -77.0479825666667)"
08/27/2012,00:04:00,MCP,"5th district, Germantown","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",GERMANTOWN RD@CLOPPER,39.1612861666667,-77.2837891833333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,INFINITY,QX4,SILVER,Citation,16-303(h),Transportation Article,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,"(39.1612861666667, -77.2837891833333)"
05/21/2012,16:47:00,MCP,"2nd district, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,CLUB DR/CONNECTICUT AVE,38.9893187,-77.0753899,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2005,TOYT,4 RUNNER,BLACK,Citation,22-412.3(b),Transportation Article,No,BLACK,M,OWINGS MILLS,MD,MD,A - Marked Patrol,"(38.9893187, -77.0753899)"
